,ENA_PRJEB1931,ENA_PRJEB2057,ENA_PRJEB2138,ENA_PRJEB2221,ENA_PRJEB2358,ENA_PRJEB2424,ENA_PRJEB2794,ENA_PRJEB3124,ENA_PRJEB3223,ENA_PRJEB3334,ENA_PRJEB9201,ENA_PRJNA49659
0,,ERR023728,ERR017777,ERR038268,ERR036207,,ERR1063839,,ERR234127,ERR181315,ERR1200632,SRR057595
1,,ERR023741,ERR017790,ERR117698,ERR245790,,ERR1063846,,ERR234139,,ERR1200649,SRR057659
2,,ERR024348,ERR019550,,ERR245814,,ERR1063849,,ERR234217,,,SRR057660
3,,ERR029208,ERR019551,,ERR245819,,ERR1063855,,ERR238745,,,SRR058400
4,,,ERR019554,,ERR245820,,ERR1063856,,,,,SRR058401
5,,,ERR019563,,ERR245824,,ERR1063857,,,,,
6,,,ERR019566,,,,ERR1063858,,,,,
7,,,ERR019567,,,,ERR1063859,,,,,
8,,,ERR019851,,,,ERR1063862,,,,,
9,,,ERR019855,,,,ERR1063883,,,,,
10,,,ERR019863,,,,ERR1063896,,,,,
11,,,ERR019864,,,,ERR124636,,,,,
12,,,ERR019865,,,,ERR124642,,,,,
13,,,ERR019867,,,,ERR124651,,,,,
14,,,ERR019873,,,,ERR124652,,,,,
15,,,ERR019876,,,,ERR126600,,,,,
16,,,ERR026634,,,,ERR126608,,,,,
17,,,ERR026635,,,,ERR126618,,,,,
18,,,ERR026638,,,,ERR161033,,,,,
19,,,ERR026643,,,,ERR161034,,,,,
20,,,ERR026644,,,,ERR161037,,,,,
21,,,ERR026645,,,,ERR161039,,,,,
22,,,ERR026646,,,,ERR161125,,,,,
23,,,ERR027444,,,,ERR163948,,,,,
24,,,ERR027457,,,,ERR164004,,,,,
25,,,ERR027460,,,,ERR176560,,,,,
26,,,ERR027461,,,,ERR176568,,,,,
27,,,ERR067681,,,,ERR176643,,,,,
28,,,ERR067688,,,,ERR176651,,,,,
29,,,ERR067699,,,,ERR176658,,,,,
30,,,ERR067712,,,,ERR176740,,,,,
31,,,ERR108471,,,,ERR176741,,,,,
32,,,ERR133825,,,,ERR176751,,,,,
33,,,ERR133928,,,,ERR176766,,,,,
34,,,ERR133986,,,,ERR176771,,,,,
35,,,ERR137286,,,,,,,,,
